,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1,14.01,8.5,8.45,8.11,8.3,11.96,13.67,12.26,14.4,12.3,14.16,7.96,8.06,8.25,8.45,8.3,8.5,8.3,8.3,21.09,20.46,20.56,21.04,20.75,21.48,21.53,19.82,20.07,20.26,21.19,21.63,15.87,14.36,15.58,15.19,14.89,14.7,7.91,14.16
2,13.67,6.98,7.32,7.13,6.84,13.72,13.18,14.79,13.43,13.43,12.3,6.98,7.47,7.13,7.32,6.98,6.98,6.74,6.98,19.73,20.41,20.07,19.63,20.61,19.82,19.53,19.92,19.87,20.21,19.78,20.21,14.45,14.26,14.31,13.09,14.11,12.79,13.96,6.79
3,7.96,6.93,0.0,0.0,0.0,8.3,6.98,8.54,7.18,8.5,6.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.99,15.19,15.23,15.53,15.14,14.94,15.48,14.94,14.94,14.89,14.89,14.94,8.74,6.98,8.3,7.03,8.69,6.88,8.84,7.08
4,8.25,6.93,0.0,0.0,0.0,8.64,7.18,8.01,7.03,8.5,7.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,15.09,14.89,15.14,14.89,15.28,14.75,14.55,14.84,14.84,14.55,14.94,7.96,7.32,8.11,7.13,8.2,7.18,8.79,7.18
5,8.45,6.98,0.0,0.0,0.0,8.35,6.84,8.25,6.93,8.01,7.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.09,15.19,14.89,14.94,14.65,14.94,14.84,15.38,14.94,15.19,14.94,15.28,8.2,7.03,8.35,7.32,8.2,7.32,7.86,6.79
6,8.59,7.47,0.0,0.0,0.0,8.69,7.28,8.4,7.42,8.54,7.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.94,14.6,14.79,14.99,14.65,14.94,14.75,15.48,14.7,14.94,14.89,14.79,8.54,7.47,8.06,7.23,8.06,7.13,8.3,6.98
7,13.23,14.01,7.91,8.15,8.5,8.01,14.36,12.11,14.45,12.16,13.77,8.3,8.2,8.3,8.54,8.45,8.11,8.2,8.74,20.26,20.51,20.46,20.65,20.65,20.75,21.04,20.75,20.41,21.14,20.31,21.0,14.79,13.67,15.62,13.96,7.91,14.26,14.75,14.06
8,13.92,12.99,7.37,6.98,6.93,7.03,14.01,14.36,12.7,14.06,13.67,7.13,7.23,6.88,7.67,6.79,7.13,7.32,6.74,20.46,20.21,20.12,20.51,19.87,20.02,19.48,19.63,20.26,20.17,20.21,20.56,14.01,12.99,14.55,13.62,14.01,6.4,14.45,13.67
9,12.6,13.72,8.35,8.84,8.5,8.59,12.3,13.82,14.26,12.7,14.7,8.11,8.25,8.06,8.11,8.59,8.5,8.54,8.35,21.48,20.12,20.9,21.29,20.95,20.46,20.7,20.41,20.36,21.34,20.41,21.14,15.14,14.75,7.86,14.21,16.02,14.11,14.99,14.21
10,14.89,13.23,6.84,7.13,6.98,7.18,13.72,12.74,13.87,14.31,13.77,7.23,6.93,7.42,7.08,7.08,7.13,6.64,7.13,19.73,19.97,20.17,20.9,20.02,20.41,20.31,20.26,20.21,19.82,20.17,20.31,13.92,13.48,14.06,6.54,13.96,14.06,14.45,13.28
