,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1,39.11,20.46,20.9,20.85,20.21,0.0,0.0,40.87,38.72,0.0,0.0,20.95,21.19,20.8,21.29,0.0,0.0,0.0,0.0,38.53,38.53,38.62,38.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.65,38.77,0.0,0.0,38.67,38.43,0.0,0.0
2,39.45,21.97,22.12,21.88,21.48,0.0,0.0,38.33,39.7,0.0,0.0,21.48,21.73,21.29,20.95,0.0,0.0,0.0,0.0,39.5,39.06,39.36,39.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.67,39.11,0.0,0.0,39.01,40.58,0.0,0.0
3,20.61,21.97,37.5,37.5,37.5,0.0,0.0,20.21,21.78,0.0,0.0,37.5,37.5,39.06,37.5,28.12,28.12,25.0,28.12,22.07,22.31,22.02,21.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.21,21.78,0.0,0.0,20.17,22.02,0.0,0.0
4,21.14,22.36,37.5,37.5,37.5,0.0,0.0,21.04,22.12,0.0,0.0,39.06,37.5,37.5,37.5,25.0,28.12,28.12,28.12,21.0,20.75,20.9,21.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,22.22,0.0,0.0,20.95,22.17,0.0,0.0
5,20.61,22.12,37.5,37.5,37.5,0.0,0.0,20.85,22.12,0.0,0.0,37.5,37.5,37.5,39.06,28.12,28.12,28.12,25.0,20.95,21.09,21.09,21.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,22.22,0.0,0.0,20.7,21.88,0.0,0.0
6,19.78,21.19,37.5,37.5,37.5,0.0,0.0,20.21,21.44,0.0,0.0,37.5,39.06,37.5,37.5,28.12,25.0,28.12,28.12,20.65,20.75,20.36,20.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.97,21.0,0.0,0.0,20.36,21.53,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,38.77,0.0,0.0,40.97,39.36,0.0,0.0,0.0,0.0,23.63,23.63,22.95,23.24,0.0,0.0,0.0,0.0,38.33,38.38,38.18,38.57,38.96,38.13,38.67,38.28,0.0,0.0,37.89,39.16,0.0,0.0,38.77,39.06
8,0.0,0.0,0.0,0.0,0.0,0.0,39.11,0.0,0.0,39.06,39.45,0.0,0.0,0.0,0.0,24.51,23.93,24.46,24.02,0.0,0.0,0.0,0.0,39.36,39.31,39.79,39.6,39.11,39.5,39.11,38.82,0.0,0.0,38.57,39.7,0.0,0.0,38.67,39.7
9,40.53,39.4,20.41,20.7,20.7,20.07,0.0,0.0,38.87,0.0,0.0,20.75,21.44,21.0,21.63,0.0,0.0,0.0,0.0,37.79,38.72,38.53,37.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.43,38.38,0.0,0.0,37.5,39.01,0.0,0.0
10,38.23,39.89,22.07,22.31,22.12,21.39,0.0,0.0,39.26,0.0,0.0,21.24,22.36,21.34,20.95,0.0,0.0,0.0,0.0,39.55,39.26,39.26,39.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.21,39.84,0.0,0.0,39.16,39.26,0.0,0.0
