,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1,46.88,71.04,70.65,71.04,71.48,88.04,86.33,46.88,46.88,87.7,85.84,71.09,70.75,70.95,70.26,91.7,91.5,91.7,91.7,40.38,41.02,40.82,40.82,79.25,78.52,78.47,80.18,79.93,79.74,78.81,78.37,46.48,46.88,84.42,84.81,46.44,46.88,92.09,85.84
2,46.88,71.04,70.56,71.0,71.68,86.28,86.82,46.88,46.88,86.57,87.7,71.53,70.8,71.58,71.73,93.02,93.02,93.26,93.02,40.77,40.53,40.58,41.02,79.39,80.18,80.47,80.08,80.13,79.79,80.22,79.79,46.88,46.63,85.69,86.91,46.88,46.63,86.04,93.21
3,71.44,71.09,62.5,62.5,62.5,91.7,93.02,71.24,71.04,91.5,93.07,62.5,62.5,60.94,62.5,71.88,71.88,75.0,71.88,62.94,62.5,62.74,62.5,84.86,85.06,84.52,85.06,85.06,85.11,85.11,85.06,71.04,71.24,91.7,92.97,71.14,71.09,91.16,92.92
4,70.61,70.7,62.5,62.5,62.5,91.36,92.82,70.95,70.85,91.5,92.82,60.94,62.5,62.5,62.5,75.0,71.88,71.88,71.88,64.31,64.16,64.21,63.67,85.11,84.72,85.25,85.45,85.16,85.16,85.45,85.06,71.04,70.46,91.89,92.87,70.85,70.65,91.21,92.82
5,70.95,70.9,62.5,62.5,62.5,91.65,93.16,70.9,70.95,91.99,92.58,62.5,62.5,62.5,60.94,71.88,71.88,71.88,75.0,63.96,63.72,64.01,63.87,85.35,85.06,85.16,84.62,85.06,84.81,85.06,84.72,70.8,70.75,91.65,92.68,71.09,70.8,92.14,93.21
6,71.63,71.34,62.5,62.5,62.5,91.31,92.72,71.39,71.14,91.46,92.87,62.5,60.94,62.5,62.5,71.88,75.0,71.88,71.88,64.4,64.65,64.84,64.4,85.35,85.06,85.25,84.52,85.3,85.06,85.11,85.21,71.48,71.53,91.94,92.77,71.58,71.34,91.7,93.02
7,86.77,85.99,92.09,91.85,91.5,91.99,46.88,87.89,85.55,46.88,46.88,91.7,91.8,91.7,91.46,67.92,68.26,68.85,68.02,79.74,79.49,79.54,79.35,41.02,40.87,40.77,40.67,40.62,40.72,41.02,40.72,85.21,86.33,46.48,46.88,92.09,85.74,46.48,46.88
8,86.08,87.01,92.63,93.02,93.07,92.97,46.88,85.64,87.3,46.88,46.88,92.87,92.77,93.12,92.33,68.7,68.95,68.21,69.24,79.54,79.79,79.88,79.49,40.77,40.67,40.72,40.77,40.62,40.33,40.67,40.62,85.99,87.01,46.88,46.68,85.99,93.6,46.88,46.63
9,46.88,46.88,71.24,70.46,70.8,71.34,87.7,86.18,46.88,87.3,85.3,71.14,70.31,70.95,70.26,91.41,91.5,91.46,91.65,40.72,41.16,40.58,40.97,79.05,79.54,79.3,79.59,79.64,78.66,79.59,78.86,46.44,46.88,92.14,85.79,46.48,46.88,85.01,85.79
10,46.88,46.88,71.09,70.56,70.9,71.44,86.28,87.26,46.88,85.69,86.23,71.53,70.7,71.24,71.97,92.92,92.87,93.36,92.87,40.72,40.77,40.58,40.04,79.98,79.59,79.69,79.74,79.79,80.18,79.83,79.69,46.88,46.68,85.94,93.46,46.88,46.68,85.55,86.72
11,88.28,85.84,91.89,91.94,91.89,91.75,46.88,46.88,87.84,85.5,46.88,91.75,92.04,91.21,91.8,68.16,68.46,68.8,68.21,79.79,79.35,78.71,79.05,40.87,40.67,41.06,40.67,40.72,40.77,40.72,40.87,91.99,85.55,46.44,46.88,84.96,85.3,46.48,46.88
12,85.89,87.5,92.92,92.77,93.02,92.92,46.88,46.88,85.89,86.52,46.88,92.87,92.87,92.58,92.82,68.41,69.04,68.02,69.19,79.35,79.79,79.59,79.79,40.53,40.48,40.82,40.62,40.62,40.77,40.38,40.53,86.13,93.75,46.88,46.68,85.99,86.47,46.88,46.68
13,71.09,71.39,62.5,60.94,62.5,62.5,91.65,92.97,71.19,71.14,91.75,93.16,62.5,62.5,62.5,75.0,71.88,71.88,71.88,64.06,63.43,62.89,64.4,85.06,84.86,84.77,85.11,84.77,84.33,84.57,85.21,71.04,71.34,91.16,92.87,71.14,71.44,91.65,92.82
