,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1,85.99,91.5,91.55,91.89,91.7,88.04,86.33,87.74,85.6,87.7,85.84,92.04,91.94,91.75,91.55,91.7,91.5,91.7,91.7,78.91,79.54,79.44,78.96,79.25,78.52,78.47,80.18,79.93,79.74,78.81,78.37,84.13,85.64,84.42,84.81,85.11,85.3,92.09,85.84
2,86.33,93.02,92.68,92.87,93.16,86.28,86.82,85.21,86.57,86.57,87.7,93.02,92.53,92.87,92.68,93.02,93.02,93.26,93.02,80.27,79.59,79.93,80.37,79.39,80.18,80.47,80.08,80.13,79.79,80.22,79.79,85.55,85.74,85.69,86.91,85.89,87.21,86.04,93.21
3,92.04,93.07,100.0,100.0,100.0,91.7,93.02,91.46,92.82,91.5,93.07,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.01,84.81,84.77,84.47,84.86,85.06,84.52,85.06,85.06,85.11,85.11,85.06,91.26,93.02,91.7,92.97,91.31,93.12,91.16,92.92
4,91.75,93.07,100.0,100.0,100.0,91.36,92.82,91.99,92.97,91.5,92.82,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.3,84.91,85.11,84.86,85.11,84.72,85.25,85.45,85.16,85.16,85.45,85.06,92.04,92.68,91.89,92.87,91.8,92.82,91.21,92.82
5,91.55,93.02,100.0,100.0,100.0,91.65,93.16,91.75,93.07,91.99,92.58,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.91,84.81,85.11,85.06,85.35,85.06,85.16,84.62,85.06,84.81,85.06,84.72,91.8,92.97,91.65,92.68,91.8,92.68,92.14,93.21
6,91.41,92.53,100.0,100.0,100.0,91.31,92.72,91.6,92.58,91.46,92.87,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.06,85.4,85.21,85.01,85.35,85.06,85.25,84.52,85.3,85.06,85.11,85.21,91.46,92.53,91.94,92.77,91.94,92.87,91.7,93.02
7,86.77,85.99,92.09,91.85,91.5,91.99,85.64,87.89,85.55,87.84,86.23,91.7,91.8,91.7,91.46,91.55,91.89,91.8,91.26,79.74,79.49,79.54,79.35,79.35,79.25,78.96,79.25,79.59,78.86,79.69,79.0,85.21,86.33,84.38,86.04,92.09,85.74,85.25,85.94
8,86.08,87.01,92.63,93.02,93.07,92.97,85.99,85.64,87.3,85.94,86.33,92.87,92.77,93.12,92.33,93.21,92.87,92.68,93.26,79.54,79.79,79.88,79.49,80.13,79.98,80.52,80.37,79.74,79.83,79.79,79.44,85.99,87.01,85.45,86.38,85.99,93.6,85.55,86.33
9,87.4,86.28,91.65,91.16,91.5,91.41,87.7,86.18,85.74,87.3,85.3,91.89,91.75,91.94,91.89,91.41,91.5,91.46,91.65,78.52,79.88,79.1,78.71,79.05,79.54,79.3,79.59,79.64,78.66,79.59,78.86,84.86,85.25,92.14,85.79,83.98,85.89,85.01,85.79
10,85.11,86.77,93.16,92.87,93.02,92.82,86.28,87.26,86.13,85.69,86.23,92.77,93.07,92.58,92.92,92.92,92.87,93.36,92.87,80.27,80.03,79.83,79.1,79.98,79.59,79.69,79.74,79.79,80.18,79.83,79.69,86.08,86.52,85.94,93.46,86.04,85.94,85.55,86.72
