| T Gate Index     | Failed (%)        | Succeed (%)       | Measurements (%)  | Output Vector (%) |
|------------------|-------------------|-------------------|-------------------|-------------------|
| 1                | 8.45              | 91.55             | 17.72             | 73.83             |
| 2                | 7.67              | 92.33             | 18.31             | 74.02             |
| 3                | 8.74              | 91.26             | 17.58             | 73.68             |
| 4                | 7.32              | 92.68             | 18.41             | 74.27             |
| 5                | 9.08              | 90.92             | 17.53             | 73.39             |
| 6                | 7.67              | 92.33             | 18.46             | 73.88             |
| 7                | 9.08              | 90.92             | 17.43             | 73.49             |
| 8                | 7.18              | 92.82             | 18.31             | 74.51             |
| 9                | 15.62             | 84.38             | 17.58             | 66.80             |
| 10               | 15.58             | 84.42             | 17.82             | 66.60             |
| 11               | 15.28             | 84.72             | 17.68             | 67.04             |
| 12               | 15.58             | 84.42             | 18.16             | 66.26             |
| 13               | 15.82             | 84.18             | 17.63             | 66.55             |
| 14               | 15.19             | 84.81             | 17.58             | 67.24             |
| 15               | 15.23             | 84.77             | 17.72             | 67.04             |
| 16               | 15.09             | 84.91             | 17.87             | 67.04             |
| 17               | 15.43             | 84.57             | 17.82             | 66.75             |
| 18               | 15.58             | 84.42             | 17.97             | 66.46             |
| 19               | 15.82             | 84.18             | 17.68             | 66.50             |
| 20               | 14.94             | 85.06             | 17.77             | 67.29             |
| 21               | 9.57              | 90.43             | 17.77             | 72.66             |
| 22               | 7.76              | 92.24             | 17.58             | 74.66             |
| 23               | 9.67              | 90.33             | 17.48             | 72.85             |
| 24               | 7.37              | 92.63             | 17.97             | 74.66             |
| 25               | 9.52              | 90.48             | 17.77             | 72.71             |
| 26               | 7.18              | 92.82             | 18.12             | 74.71             |
| 27               | 9.96              | 90.04             | 17.53             | 72.51             |
| 28               | 6.69              | 93.31             | 18.55             | 74.76             |
