| T Gate Index     | Failed (%)        | Succeed (%)       | Measurements (%)  | Output Vector (%) |
|------------------|-------------------|-------------------|-------------------|-------------------|
| 1                | 7.47              | 92.53             | 0.00              | 92.53             |
| 2                | 8.35              | 91.65             | 0.00              | 91.65             |
| 3                | 0.00              | 100.00            | 25.00             | 75.00             |
| 4                | 0.00              | 100.00            | 25.00             | 75.00             |
| 5                | 0.00              | 100.00            | 25.00             | 75.00             |
| 6                | 0.00              | 100.00            | 25.00             | 75.00             |
| 7                | 7.32              | 92.68             | 0.00              | 92.68             |
| 8                | 8.40              | 91.60             | 0.00              | 91.60             |
| 9                | 7.32              | 92.68             | 0.00              | 92.68             |
| 10               | 8.84              | 91.16             | 0.00              | 91.16             |
| 11               | 7.32              | 92.68             | 0.00              | 92.68             |
| 12               | 8.35              | 91.65             | 0.00              | 91.65             |
| 13               | 0.00              | 100.00            | 25.00             | 75.00             |
| 14               | 0.00              | 100.00            | 25.00             | 75.00             |
| 15               | 0.00              | 100.00            | 25.00             | 75.00             |
| 16               | 0.00              | 100.00            | 25.00             | 75.00             |
| 17               | 0.00              | 100.00            | 28.12             | 71.88             |
| 18               | 0.00              | 100.00            | 28.12             | 71.88             |
| 19               | 0.00              | 100.00            | 28.12             | 71.88             |
| 20               | 0.00              | 100.00            | 28.12             | 71.88             |
| 21               | 15.19             | 84.81             | 0.00              | 84.81             |
| 22               | 15.04             | 84.96             | 0.00              | 84.96             |
| 23               | 15.09             | 84.91             | 0.00              | 84.91             |
| 24               | 16.06             | 83.94             | 0.00              | 83.94             |
| 25               | 15.67             | 84.33             | 0.00              | 84.33             |
| 26               | 15.82             | 84.18             | 0.00              | 84.18             |
| 27               | 15.09             | 84.91             | 0.00              | 84.91             |
| 28               | 14.89             | 85.11             | 0.00              | 85.11             |
| 29               | 14.89             | 85.11             | 0.00              | 85.11             |
| 30               | 15.28             | 84.72             | 0.00              | 84.72             |
| 31               | 15.28             | 84.72             | 0.00              | 84.72             |
| 32               | 14.94             | 85.06             | 0.00              | 85.06             |
| 33               | 7.47              | 92.53             | 0.00              | 92.53             |
| 34               | 8.54              | 91.46             | 0.00              | 91.46             |
| 35               | 7.32              | 92.68             | 0.00              | 92.68             |
| 36               | 8.54              | 91.46             | 0.00              | 91.46             |
| 37               | 7.37              | 92.63             | 0.00              | 92.63             |
| 38               | 8.35              | 91.65             | 0.00              | 91.65             |
| 39               | 7.42              | 92.58             | 0.00              | 92.58             |
| 40               | 8.30              | 91.70             | 0.00              | 91.70             |
