T Gate Index 0,T Gate Index 1,Failed (%),Succeed (%),Measurements (%),Output Vector (%)
1,1,19.24,80.76,13.18,67.58
1,2,19.97,80.03,12.99,67.04
1,3,19.63,80.37,33.50,46.88
1,4,18.99,81.01,34.13,46.88
1,5,18.65,81.35,13.09,68.26
1,6,17.77,82.23,13.77,68.46
1,7,23.63,76.37,34.62,41.75
1,8,23.63,76.37,34.62,41.75
1,9,23.63,76.37,34.62,41.75
1,10,23.63,76.37,34.62,41.75
1,11,23.63,76.37,13.67,62.70
1,12,23.54,76.46,13.67,62.79
1,13,23.63,76.37,13.62,62.74
1,14,23.63,76.37,13.62,62.74
1,15,23.63,76.37,13.62,62.74
1,16,23.63,76.37,13.62,62.74
1,17,23.24,76.76,13.62,63.13
1,18,23.63,76.37,13.62,62.74
1,19,16.99,83.01,36.57,46.44
1,20,17.19,82.81,36.57,46.24
1,21,19.09,80.91,13.62,67.29
1,22,19.73,80.27,13.09,67.19
1,23,19.43,80.57,34.13,46.44
1,24,19.87,80.13,33.89,46.24
1,25,16.16,83.84,14.31,69.53
1,26,17.53,82.47,13.57,68.90
2,1,19.24,80.76,13.18,67.58
2,2,19.09,80.91,13.28,67.63
2,3,16.36,83.64,13.82,69.82
2,4,19.24,80.76,13.18,67.58
2,5,16.55,83.45,13.77,69.68
2,6,19.24,80.76,13.18,67.58
2,7,23.63,76.37,12.89,63.48
2,8,23.83,76.17,12.84,63.33
2,9,23.83,76.17,12.84,63.33
2,10,23.83,76.17,12.84,63.33
2,11,23.83,76.17,12.84,63.33
2,12,23.83,76.17,12.84,63.33
2,13,23.83,76.17,12.84,63.33
2,14,23.83,76.17,12.84,63.33
2,15,23.97,76.03,12.89,63.13
2,16,23.78,76.22,12.99,63.23
2,17,23.83,76.17,12.84,63.33
2,18,23.83,76.17,12.84,63.33
2,19,16.75,83.25,15.14,68.12
2,20,19.24,80.76,13.13,67.63
2,21,16.89,83.11,15.04,68.07
2,22,19.24,80.76,13.13,67.63
2,23,16.31,83.69,13.96,69.73
2,24,19.24,80.76,13.13,67.63
2,25,16.50,83.50,13.92,69.58
2,26,19.29,80.71,13.09,67.63
3,1,19.97,80.03,12.99,67.04
3,2,19.24,80.76,13.18,67.58
3,3,19.82,80.18,13.38,66.80
3,4,17.82,82.18,13.77,68.41
3,5,18.65,81.35,13.09,68.26
3,6,19.04,80.96,13.28,67.68
3,7,23.63,76.37,13.62,62.74
3,8,23.63,76.37,13.62,62.74
3,9,23.34,76.66,13.67,62.99
3,10,23.63,76.37,13.48,62.89
3,11,23.63,76.37,13.62,62.74
3,12,23.49,76.51,13.82,62.70
3,13,23.68,76.32,13.53,62.79
3,14,23.68,76.32,13.53,62.79
3,15,23.63,76.37,13.62,62.74
3,16,23.63,76.37,13.62,62.74
3,17,23.49,76.51,13.62,62.89
3,18,23.68,76.32,13.53,62.79
3,19,16.85,83.15,15.62,67.53
3,20,19.53,80.47,13.18,67.29
3,21,19.09,80.91,13.62,67.29
3,22,17.24,82.76,14.94,67.82
3,23,19.43,80.57,13.92,66.65
3,24,17.53,82.47,13.57,68.90
3,25,16.31,83.69,14.16,69.53
3,26,19.82,80.18,13.48,66.70
4,1,19.82,80.18,33.30,46.88
4,2,16.36,83.64,13.82,69.82
4,3,19.82,80.18,13.38,66.80
4,4,19.63,80.37,33.50,46.88
4,5,16.36,83.64,13.82,69.82
4,6,19.82,80.18,13.38,66.80
4,7,24.76,75.24,32.81,42.43
4,8,24.76,75.24,32.81,42.43
4,9,24.76,75.24,32.81,42.43
4,10,24.56,75.44,32.96,42.48
4,11,24.90,75.10,12.99,62.11
4,12,24.76,75.24,13.09,62.16
4,13,24.76,75.24,13.09,62.16
4,14,24.76,75.24,13.09,62.16
4,15,24.76,75.24,13.09,62.16
4,16,24.76,75.24,13.09,62.16
4,17,24.56,75.44,13.23,62.21
4,18,24.80,75.20,12.99,62.21
4,19,16.06,83.94,37.74,46.19
4,20,19.48,80.52,33.64,46.88
