| T Gate Index  | T Gate Indey | Failed            | Succeed           | Measurements      | Output Vector     |
|---------------|--------------|-------------------|-------------------|-------------------|-------------------|
| 1             | 1            | 11.82             | 88.18             | 41.31             | 46.88             |
| 1             | 2            | 13.57             | 86.43             | 15.19             | 71.24             |
| 1             | 3            | 11.52             | 88.48             | 16.65             | 71.83             |
| 1             | 4            | 11.91             | 88.09             | 41.21             | 46.88             |
| 1             | 5            | 11.43             | 88.57             | 41.70             | 46.88             |
| 1             | 6            | 11.52             | 88.48             | 16.31             | 72.17             |
| 1             | 7            | 11.43             | 88.57             | 16.75             | 71.83             |
| 1             | 8            | 16.89             | 83.11             | 40.87             | 42.24             |
| 1             | 9            | 16.89             | 83.11             | 40.87             | 42.24             |
| 1             | 10           | 17.19             | 82.81             | 40.58             | 42.24             |
| 1             | 11           | 16.89             | 83.11             | 40.87             | 42.24             |
| 1             | 12           | 16.85             | 83.15             | 16.80             | 66.36             |
| 1             | 13           | 17.38             | 82.62             | 16.65             | 65.97             |
| 1             | 14           | 16.89             | 83.11             | 16.70             | 66.41             |
| 1             | 15           | 16.89             | 83.11             | 16.70             | 66.41             |
| 1             | 16           | 17.19             | 82.81             | 16.60             | 66.21             |
| 1             | 17           | 16.75             | 83.25             | 16.65             | 66.60             |
| 1             | 18           | 16.85             | 83.15             | 16.80             | 66.36             |
| 1             | 19           | 16.89             | 83.11             | 16.70             | 66.41             |
| 1             | 20           | 9.86              | 90.14             | 43.51             | 46.63             |
| 1             | 21           | 10.35             | 89.65             | 42.77             | 46.88             |
| 1             | 22           | 12.21             | 87.79             | 16.85             | 70.95             |
| 1             | 23           | 10.35             | 89.65             | 17.14             | 72.51             |
| 1             | 24           | 12.35             | 87.65             | 41.02             | 46.63             |
| 1             | 25           | 10.35             | 89.65             | 42.77             | 46.88             |
| 1             | 26           | 9.77              | 90.23             | 16.80             | 73.44             |
| 1             | 27           | 10.50             | 89.50             | 16.99             | 72.51             |
| 2             | 1            | 11.43             | 88.57             | 41.70             | 46.88             |
| 2             | 2            | 11.43             | 88.57             | 16.75             | 71.83             |
| 2             | 3            | 14.40             | 85.60             | 14.99             | 70.61             |
| 2             | 4            | 11.38             | 88.62             | 41.75             | 46.88             |
| 2             | 5            | 13.53             | 86.47             | 39.60             | 46.88             |
| 2             | 6            | 11.47             | 88.53             | 16.85             | 71.68             |
| 2             | 7            | 12.84             | 87.16             | 15.58             | 71.58             |
| 2             | 8            | 17.58             | 82.42             | 40.53             | 41.89             |
| 2             | 9            | 17.38             | 82.62             | 40.62             | 41.99             |
| 2             | 10           | 17.53             | 82.47             | 40.53             | 41.94             |
| 2             | 11           | 17.68             | 82.32             | 40.38             | 41.94             |
| 2             | 12           | 17.33             | 82.67             | 16.16             | 66.50             |
| 2             | 13           | 17.48             | 82.52             | 16.21             | 66.31             |
| 2             | 14           | 17.92             | 82.08             | 16.02             | 66.06             |
| 2             | 15           | 17.33             | 82.67             | 16.16             | 66.50             |
