,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,41.31,15.19,16.65,41.21,41.7,16.31,16.75,40.87,40.87,40.58,40.87,16.8,16.65,16.7,16.7,16.6,16.65,16.8,16.7,43.51,42.77,16.85,17.14,41.02,42.77,16.8,16.99
2,41.7,16.75,14.99,41.75,39.6,16.85,15.58,40.53,40.62,40.53,40.38,16.16,16.21,16.02,16.16,16.16,16.16,16.16,16.16,41.65,44.19,16.75,16.85,41.85,41.7,16.75,17.33
3,15.19,16.75,41.7,16.16,16.75,41.36,41.65,16.7,16.7,16.7,16.7,40.38,40.62,40.62,40.62,40.87,40.87,40.87,40.97,16.89,17.14,43.36,42.77,16.99,17.14,41.02,42.77
4,16.75,14.99,41.55,16.75,15.58,41.7,39.6,16.16,16.16,16.16,16.02,40.53,40.67,40.67,40.67,40.33,40.67,40.58,40.62,16.7,16.85,41.5,44.19,16.75,17.33,41.8,41.65
5,41.16,41.7,16.16,16.75,41.5,15.19,16.75,40.87,40.87,40.87,40.87,16.55,16.55,16.65,16.7,16.7,16.7,16.7,16.89,40.97,42.68,16.89,17.14,43.51,42.77,16.85,17.14
6,41.6,39.75,16.75,15.58,41.7,16.75,14.99,40.67,40.67,40.48,40.67,16.11,16.16,15.92,16.02,16.16,16.06,16.21,16.16,41.85,41.5,16.75,17.33,41.85,44.04,16.75,16.85
7,16.16,16.8,41.21,41.5,15.19,16.75,41.65,16.7,16.8,16.7,16.7,40.77,40.77,40.87,40.87,40.87,40.87,40.67,40.87,16.94,16.99,40.92,42.77,16.85,17.04,43.51,42.48
8,16.8,15.58,41.7,39.6,16.65,14.89,41.7,16.16,16.11,16.16,16.02,40.53,40.67,40.67,40.38,40.53,40.67,40.67,40.67,16.75,17.29,41.85,41.5,16.75,16.85,41.75,44.19
9,40.87,40.67,16.75,16.16,40.67,40.53,16.7,16.11,39.45,38.82,39.21,16.31,14.5,16.31,16.36,14.55,16.6,16.26,15.97,41.6,42.53,16.94,17.09,41.6,42.43,16.94,17.09
10,40.87,40.67,16.65,16.16,40.87,40.67,16.7,16.11,39.31,39.6,39.31,16.55,16.6,16.36,14.84,16.41,14.55,16.55,16.5,41.41,42.72,16.94,17.09,41.5,42.72,16.99,17.09
11,40.87,40.48,16.7,15.92,40.77,40.67,16.7,16.16,38.77,39.6,39.36,14.5,16.26,16.36,16.21,16.16,16.55,14.55,16.16,41.26,42.72,16.85,17.09,41.6,42.72,16.94,16.8
12,40.87,40.67,16.7,16.11,40.87,40.67,16.65,16.16,39.21,39.31,39.11,16.36,16.41,14.4,16.21,16.6,16.11,16.41,14.55,41.6,42.48,16.89,16.94,41.6,42.72,16.94,17.09
13,16.7,16.16,40.87,40.67,16.7,16.16,40.58,40.53,16.31,16.55,14.5,16.36,39.55,39.65,39.36,39.5,39.31,41.11,39.6,16.99,17.09,41.6,42.72,16.94,17.04,41.6,42.63
14,16.7,16.16,40.87,40.53,16.7,16.16,40.67,40.67,14.5,16.6,16.31,16.36,39.45,39.5,39.55,40.97,39.5,39.21,39.01,16.94,17.09,41.6,42.72,16.89,17.09,41.5,42.72
15,16.7,16.16,40.48,40.67,16.55,16.16,40.87,40.62,16.31,16.41,16.46,14.4,39.7,39.65,39.65,39.55,39.45,39.55,41.06,16.94,17.09,41.6,42.72,16.94,17.09,41.6,42.63
16,16.7,16.16,40.87,40.67,16.8,16.16,40.77,40.67,16.36,14.84,16.21,16.21,39.36,39.55,39.7,39.45,41.31,39.26,39.5,16.94,17.09,41.6,42.72,16.99,17.09,41.36,42.14
17,16.7,16.16,40.87,40.67,16.7,16.16,40.77,40.62,14.6,16.5,16.16,16.65,39.7,40.97,39.55,39.4,39.84,39.01,39.26,16.94,17.09,41.6,42.72,16.94,17.09,41.6,42.53
18,16.65,16.02,40.87,40.67,16.55,16.16,40.87,40.62,16.7,14.65,16.55,16.16,39.31,39.4,39.45,41.21,39.75,39.75,39.55,16.89,17.09,41.6,42.72,16.94,16.89,41.55,42.72
19,16.7,16.16,40.87,40.53,16.7,16.16,40.87,40.62,16.26,16.6,14.55,16.41,41.26,39.16,39.6,39.21,39.01,39.79,39.31,16.85,17.09,41.6,42.72,16.94,17.09,41.6,42.72
20,16.75,16.16,40.87,40.48,16.7,16.16,40.67,40.67,15.97,16.5,16.31,14.55,39.65,39.01,41.11,39.6,39.26,39.55,39.31,16.94,16.8,41.6,42.53,16.89,17.09,41.6,42.53
21,43.51,41.55,16.89,16.75,41.02,41.36,16.75,16.6,40.77,41.6,41.46,41.6,16.75,16.99,16.8,16.8,16.75,16.94,16.99,16.85,42.19,15.19,16.89,40.72,42.19,15.92,16.94
22,42.77,44.19,17.14,16.85,42.68,41.55,17.14,17.29,42.72,42.72,42.72,42.72,17.09,17.09,17.09,17.09,17.09,16.89,17.09,16.7,42.09,16.75,15.43,42.19,38.96,16.89,15.87
23,16.85,16.75,43.51,41.8,16.94,16.7,41.02,41.85,16.94,16.94,16.94,16.94,41.6,41.41,41.6,41.6,41.21,41.46,41.6,41.36,15.53,16.85,42.09,16.06,16.89,40.04,42.14
24,17.19,16.85,42.77,44.19,17.14,17.33,42.48,41.65,17.09,17.09,17.09,17.09,42.72,42.72,42.72,42.72,42.72,42.72,42.72,42.72,16.85,15.43,42.19,16.89,15.77,42.19,38.96
25,41.02,41.75,16.94,16.75,43.51,41.85,16.8,16.6,41.6,41.16,41.46,41.36,16.46,16.99,16.8,16.75,16.89,16.94,16.75,16.8,40.72,42.14,15.87,16.75,42.19,15.19,16.94
26,42.63,41.5,17.14,17.33,42.48,44.19,16.89,16.85,42.72,42.43,42.72,42.72,17.09,17.09,16.99,16.99,16.89,16.94,17.09,17.09,42.14,38.96,16.89,15.77,42.04,16.65,15.19
27,16.94,16.75,40.77,41.85,16.7,16.6,43.51,41.85,16.94,16.89,16.94,16.94,41.55,41.55,41.6,41.36,41.6,41.46,41.6,41.36,15.92,16.89,40.72,42.14,15.43,16.89,41.99
28,17.14,17.33,42.77,41.65,17.19,16.85,42.77,44.19,16.8,16.89,17.09,17.09,42.53,42.72,42.72,42.72,42.72,42.72,42.38,42.53,16.8,15.87,42.19,38.96,16.89,15.43,41.85
