,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,46.88,71.24,71.83,46.88,46.88,72.17,71.83,42.24,42.24,42.24,42.24,66.36,65.97,66.41,66.41,66.21,66.6,66.36,66.41,46.63,46.88,70.95,72.51,46.63,46.88,73.44,72.51
2,46.88,71.83,70.61,46.88,46.88,71.68,71.58,41.89,41.99,41.94,41.94,66.5,66.31,66.06,66.5,66.5,66.5,66.5,66.5,46.88,46.58,71.97,71.04,46.88,46.63,71.73,73.58
3,71.24,71.63,46.88,72.36,71.68,46.88,46.88,66.41,66.41,66.41,66.41,42.09,42.38,42.14,42.19,42.24,42.24,42.24,42.19,71.09,72.51,46.58,46.88,73.44,72.51,46.63,46.88
4,71.83,70.61,46.88,71.83,71.58,46.88,46.88,66.5,66.5,66.5,66.46,41.94,41.99,41.99,41.99,41.89,41.99,41.99,41.99,71.63,71.04,46.88,46.58,71.97,73.58,46.88,46.58
5,46.88,46.88,72.36,71.83,46.88,71.24,71.83,42.24,42.24,42.24,42.24,66.26,66.26,66.21,66.41,66.41,66.41,66.41,66.06,46.63,46.88,73.54,72.51,46.63,46.88,70.95,72.51
6,46.88,46.88,71.83,71.58,46.88,71.83,70.61,41.99,41.99,41.94,41.99,66.26,66.5,66.36,66.46,66.5,66.36,66.41,66.5,46.88,46.58,71.97,73.58,46.88,46.58,71.97,71.04
7,72.36,71.63,46.88,46.88,71.24,71.83,46.88,66.41,66.36,66.41,66.41,42.14,42.19,42.24,42.24,42.24,42.24,42.14,42.24,73.54,72.51,46.63,46.88,70.95,72.46,46.63,46.88
8,71.58,71.58,46.88,46.88,71.83,70.61,46.88,66.5,66.55,66.31,66.46,41.89,41.99,41.99,42.09,41.89,41.99,41.99,41.99,71.97,73.49,46.88,46.58,71.97,71.04,46.88,46.58
9,42.24,41.99,66.26,66.5,42.24,41.89,66.41,66.31,35.3,35.64,36.08,59.33,61.04,58.79,58.74,60.79,59.08,59.77,58.94,43.8,43.26,68.46,68.95,43.8,43.21,68.46,68.95
10,42.24,41.99,65.97,66.5,42.24,41.99,66.41,66.41,35.11,36.13,35.6,58.98,59.33,59.23,61.23,58.64,60.84,58.94,58.74,43.8,43.31,68.46,68.95,43.75,43.31,68.12,68.95
11,42.24,41.94,66.41,66.36,42.14,41.99,66.41,66.5,35.74,36.13,36.04,60.64,58.98,59.03,58.89,58.79,58.64,60.79,58.79,43.6,43.31,68.12,68.95,43.8,43.31,68.46,68.6
12,42.24,41.99,66.41,66.46,42.24,41.99,66.65,66.5,36.08,35.45,35.99,59.23,58.59,60.4,58.54,59.23,58.89,58.98,60.79,43.8,43.26,68.26,68.7,43.8,43.31,68.46,68.95
13,66.41,66.5,42.24,41.99,66.41,66.5,42.04,41.89,59.33,58.98,60.64,59.23,35.5,36.08,35.4,35.94,35.69,34.28,35.64,68.26,68.95,43.8,43.31,68.46,68.55,43.8,43.26
14,66.41,66.5,42.24,41.94,66.41,66.5,42.14,41.99,61.18,59.47,59.08,58.64,35.5,35.79,35.74,34.18,35.6,35.64,36.23,68.46,68.95,43.8,43.31,68.41,68.95,43.85,43.31
15,66.41,66.5,42.09,41.99,66.26,66.5,42.09,41.99,58.79,59.28,58.98,60.45,36.18,35.94,35.89,36.13,35.89,36.08,34.08,68.46,68.8,43.8,43.31,68.46,68.8,43.8,43.26
16,66.41,66.5,42.24,41.99,66.11,66.5,42.19,41.99,58.74,61.23,58.89,58.54,35.45,35.74,35.94,35.6,33.84,35.74,35.99,68.46,68.95,43.8,43.31,68.26,68.95,43.65,42.97
17,66.41,66.5,42.24,41.99,66.41,66.5,42.29,42.04,60.64,58.4,58.79,59.23,35.84,34.18,36.13,35.6,35.84,35.55,35.69,68.46,68.95,43.8,43.31,68.46,68.95,43.8,43.26
18,66.36,66.46,42.29,41.99,65.97,66.5,42.24,42.14,58.98,60.84,58.64,58.89,35.69,35.5,35.89,33.79,35.94,35.69,36.04,68.41,68.95,43.8,43.31,68.31,68.75,43.7,43.31
19,66.41,66.5,42.24,41.89,66.41,66.5,42.24,42.04,59.77,59.18,60.79,59.18,34.03,35.69,36.04,35.45,35.55,35.79,35.94,68.26,68.95,43.8,43.31,68.46,68.95,43.8,43.31
20,66.36,66.5,42.24,41.94,66.41,66.5,41.94,41.99,58.98,58.84,59.03,60.74,35.64,36.23,34.08,35.64,35.69,36.04,35.94,68.46,68.7,43.8,43.26,68.41,68.95,43.8,43.26
21,46.63,46.88,70.9,71.97,46.63,46.88,73.39,71.97,43.55,43.8,43.8,43.8,67.97,68.16,67.92,68.02,68.36,68.46,68.26,68.21,46.88,72.12,72.17,46.88,46.88,72.22,71.97
22,46.88,46.58,72.51,71.04,46.88,46.58,72.51,73.49,43.31,43.31,43.31,43.31,68.95,68.95,68.95,68.95,68.95,68.8,68.95,68.36,46.88,71.78,70.9,46.88,46.88,72.17,71.68
23,70.95,71.97,46.63,46.88,73.54,71.63,46.63,46.88,68.46,68.46,68.46,68.46,43.8,43.75,43.8,43.8,43.6,43.65,43.8,43.6,72.27,72.12,46.88,72.41,72.17,46.88,46.88
24,72.36,71.04,46.88,46.58,72.51,73.58,46.88,46.58,68.95,68.95,68.95,68.95,43.31,43.31,43.31,43.31,43.31,43.31,43.31,43.31,72.12,70.9,46.88,72.17,71.73,46.88,46.88
25,46.63,46.88,73.54,71.97,46.63,46.88,71.0,71.97,43.8,43.6,43.8,43.6,68.51,68.51,68.02,68.26,68.36,68.46,68.12,68.07,46.88,46.88,72.27,72.07,46.88,72.12,72.12
26,46.88,46.58,72.51,73.58,46.88,46.58,72.12,71.04,43.31,43.12,43.31,43.31,68.95,68.95,69.04,68.8,68.75,68.9,68.95,68.95,46.88,46.88,72.12,71.53,46.88,71.97,70.85
27,73.58,71.97,46.63,46.88,70.9,71.97,46.63,46.88,68.41,68.41,68.46,68.46,43.75,43.75,43.8,43.6,43.8,43.7,43.8,43.75,72.17,72.17,46.88,46.88,72.22,72.17,46.88
28,72.51,73.58,46.88,46.58,72.36,71.04,46.88,46.58,68.7,68.9,68.95,68.95,43.16,43.31,43.31,43.31,43.31,43.31,43.21,43.16,72.12,71.68,46.88,46.88,72.17,70.9,46.88
