,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,88.18,86.43,88.48,88.09,88.57,88.48,88.57,83.11,83.11,82.81,83.11,83.15,82.62,83.11,83.11,82.81,83.25,83.15,83.11,90.14,89.65,87.79,89.65,87.65,89.65,90.23,89.5
2,88.57,88.57,85.6,88.62,86.47,88.53,87.16,82.42,82.62,82.47,82.32,82.67,82.52,82.08,82.67,82.67,82.67,82.67,82.67,88.53,90.77,88.72,87.89,88.72,88.33,88.48,90.92
3,86.43,88.38,88.57,88.53,88.43,88.23,88.53,83.11,83.11,83.11,83.11,82.47,83.01,82.76,82.81,83.11,83.11,83.11,83.15,87.99,89.65,89.94,89.65,90.43,89.65,87.65,89.65
4,88.57,85.6,88.43,88.57,87.16,88.57,86.47,82.67,82.67,82.67,82.47,82.47,82.67,82.67,82.67,82.23,82.67,82.57,82.62,88.33,87.89,88.38,90.77,88.72,90.92,88.67,88.23
5,88.04,88.57,88.53,88.57,88.38,86.43,88.57,83.11,83.11,83.11,83.11,82.81,82.81,82.86,83.11,83.11,83.11,83.11,82.96,87.6,89.55,90.43,89.65,90.14,89.65,87.79,89.65
6,88.48,86.62,88.57,87.16,88.57,88.57,85.6,82.67,82.67,82.42,82.67,82.37,82.67,82.28,82.47,82.67,82.42,82.62,82.67,88.72,88.09,88.72,90.92,88.72,90.62,88.72,87.89
7,88.53,88.43,88.09,88.38,86.43,88.57,88.53,83.11,83.15,83.11,83.11,82.91,82.96,83.11,83.11,83.11,83.11,82.81,83.11,90.48,89.5,87.55,89.65,87.79,89.5,90.14,89.36
8,88.38,87.16,88.57,86.47,88.48,85.5,88.57,82.67,82.67,82.47,82.47,82.42,82.67,82.67,82.47,82.42,82.67,82.67,82.67,88.72,90.77,88.72,88.09,88.72,87.89,88.62,90.77
9,83.11,82.67,83.01,82.67,82.91,82.42,83.11,82.42,74.76,74.46,75.29,75.63,75.54,75.1,75.1,75.34,75.68,76.03,74.9,85.4,85.79,85.4,86.04,85.4,85.64,85.4,86.04
10,83.11,82.67,82.62,82.67,83.11,82.67,83.11,82.52,74.41,75.73,74.9,75.54,75.93,75.59,76.07,75.05,75.39,75.49,75.24,85.21,86.04,85.4,86.04,85.25,86.04,85.11,86.04
11,83.11,82.42,83.11,82.28,82.91,82.67,83.11,82.67,74.51,75.73,75.39,75.15,75.24,75.39,75.1,74.95,75.2,75.34,74.95,84.86,86.04,84.96,86.04,85.4,86.04,85.4,85.4
12,83.11,82.67,83.11,82.57,83.11,82.67,83.3,82.67,75.29,74.76,75.1,75.59,75.0,74.8,74.76,75.83,75.0,75.39,75.34,85.4,85.74,85.16,85.64,85.4,86.04,85.4,86.04
13,83.11,82.67,83.11,82.67,83.11,82.67,82.62,82.42,75.63,75.54,75.15,75.59,75.05,75.73,74.76,75.44,75.0,75.39,75.24,85.25,86.04,85.4,86.04,85.4,85.6,85.4,85.89
14,83.11,82.67,83.11,82.47,83.11,82.67,82.81,82.67,75.68,76.07,75.39,75.0,74.95,75.29,75.29,75.15,75.1,74.85,75.24,85.4,86.04,85.4,86.04,85.3,86.04,85.35,86.04
15,83.11,82.67,82.57,82.67,82.81,82.67,82.96,82.62,75.1,75.68,75.44,74.85,75.88,75.59,75.54,75.68,75.34,75.63,75.15,85.4,85.89,85.4,86.04,85.4,85.89,85.4,85.89
16,83.11,82.67,83.11,82.67,82.91,82.67,82.96,82.67,75.1,76.07,75.1,74.76,74.8,75.29,75.63,75.05,75.15,75.0,75.49,85.4,86.04,85.4,86.04,85.25,86.04,85.01,85.11
17,83.11,82.67,83.11,82.67,83.11,82.67,83.06,82.67,75.24,74.9,74.95,75.88,75.54,75.15,75.68,75.0,75.68,74.56,74.95,85.4,86.04,85.4,86.04,85.4,86.04,85.4,85.79
18,83.01,82.47,83.15,82.67,82.52,82.67,83.11,82.76,75.68,75.49,75.2,75.05,75.0,74.9,75.34,75.0,75.68,75.44,75.59,85.3,86.04,85.4,86.04,85.25,85.64,85.25,86.04
19,83.11,82.67,83.11,82.42,83.11,82.67,83.11,82.67,76.03,75.78,75.34,75.59,75.29,74.85,75.63,74.66,74.56,75.59,75.24,85.11,86.04,85.4,86.04,85.4,86.04,85.4,86.04
20,83.11,82.67,83.11,82.42,83.11,82.67,82.62,82.67,74.95,75.34,75.34,75.29,75.29,75.24,75.2,75.24,74.95,75.59,75.24,85.4,85.5,85.4,85.79,85.3,86.04,85.4,85.79
21,90.14,88.43,87.79,88.72,87.65,88.23,90.14,88.57,84.33,85.4,85.25,85.4,84.72,85.16,84.72,84.81,85.11,85.4,85.25,85.06,89.06,87.3,89.06,87.6,89.06,88.13,88.92
22,89.65,90.77,89.65,87.89,89.55,88.13,89.65,90.77,86.04,86.04,86.04,86.04,86.04,86.04,86.04,86.04,86.04,85.69,86.04,85.06,88.96,88.53,86.33,89.06,85.84,89.06,87.55
23,87.79,88.72,90.14,88.67,90.48,88.33,87.65,88.72,85.4,85.4,85.4,85.4,85.4,85.16,85.4,85.4,84.81,85.11,85.4,84.96,87.79,88.96,88.96,88.48,89.06,86.91,89.01
24,89.55,87.89,89.65,90.77,89.65,90.92,89.36,88.23,86.04,86.04,86.04,86.04,86.04,86.04,86.04,86.04,86.04,86.04,86.04,86.04,88.96,86.33,89.06,89.06,87.5,89.06,85.84
25,87.65,88.62,90.48,88.72,90.14,88.72,87.79,88.57,85.4,84.77,85.25,84.96,84.96,85.5,84.81,85.01,85.25,85.4,84.86,84.86,87.6,89.01,88.13,88.82,89.06,87.3,89.06
26,89.5,88.09,89.65,90.92,89.36,90.77,89.01,87.89,86.04,85.55,86.04,86.04,86.04,86.04,86.04,85.79,85.64,85.84,86.04,86.04,89.01,85.84,89.01,87.3,88.92,88.62,86.04
27,90.53,88.72,87.4,88.72,87.6,88.57,90.14,88.72,85.35,85.3,85.4,85.4,85.3,85.3,85.4,84.96,85.4,85.16,85.4,85.11,88.09,89.06,87.6,89.01,87.65,89.06,88.87
28,89.65,90.92,89.65,88.23,89.55,87.89,89.65,90.77,85.5,85.79,86.04,86.04,85.69,86.04,86.04,86.04,86.04,86.04,85.6,85.69,88.92,87.55,89.06,85.84,89.06,86.33,88.72
