| T Gate Index1h 5m| Failed            | Succeed           | Measurements      | Output Vector     |
|------------------|-------------------|-------------------|-------------------|-------------------|
| 3 3              | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 3 4              | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 3 5              | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 3 12             | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 3 13             | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 3 14             | 0.00%             | 100.00%           | 39.06%            | 60.94%            |
| 3 15             | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 3 16             | 0.00%             | 100.00%           | 28.12%            | 71.88%            |
| 3 17             | 0.00%             | 100.00%           | 28.12%            | 71.88%            |
| 3 18             | 0.00%             | 100.00%           | 25.00%            | 75.00%            |
| 3 19             | 0.00%             | 100.00%           | 28.12%            | 71.88%            |
| 4 3              | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 4 4              | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 4 5              | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 4 12             | 0.00%             | 100.00%           | 39.06%            | 60.94%            |
| 4 13             | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 4 14             | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 4 15             | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 4 16             | 0.00%             | 100.00%           | 25.00%            | 75.00%            |
| 4 17             | 0.00%             | 100.00%           | 28.12%            | 71.88%            |
| 4 18             | 0.00%             | 100.00%           | 28.12%            | 71.88%            |
| 4 19             | 0.00%             | 100.00%           | 28.12%            | 71.88%            |
| 5 3              | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 5 4              | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 5 5              | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 5 12             | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 5 13             | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 5 14             | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 5 15             | 0.00%             | 100.00%           | 39.06%            | 60.94%            |
| 5 16             | 0.00%             | 100.00%           | 28.12%            | 71.88%            |
| 5 17             | 0.00%             | 100.00%           | 28.12%            | 71.88%            |
| 5 18             | 0.00%             | 100.00%           | 28.12%            | 71.88%            |
| 5 19             | 0.00%             | 100.00%           | 25.00%            | 75.00%            |
| 6 3              | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 6 4              | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 6 5              | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 6 12             | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 6 13             | 0.00%             | 100.00%           | 39.06%            | 60.94%            |
| 6 14             | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 6 15             | 0.00%             | 100.00%           | 37.50%            | 62.50%            |
| 6 16             | 0.00%             | 100.00%           | 28.12%            | 71.88%            |
